invoice_id,station_id,vendor,invoice_amount,invoice_date,status
IN000026,ST059,"Stone, Adams and Williams",1551.49,10/14/2025,PENDING
IN000027,ST026,Hamilton Inc,625.08,5/18/2025,OVERDUE
IN000028,ST069,Harris-Robinson,4821.71,11/30/2024,OVERDUE
IN000029,ST007,"Thomas, Miller and Murray",1684.64,1/25/2025,PAID
IN000030,ST095,"Weaver, Robinson and Kelly",4177.44,4/9/2025,PAID
IN000031,ST090,Schwartz-Martinez,2410.65,4/15/2025,PENDING
IN000032,ST026,Simpson Inc,1554.76,3/3/2025,PENDING
IN000033,ST066,Stark and Sons,1084.47,10/31/2024,PAID
IN000034,ST058,Carroll and Sons,965.68,11/4/2024,OVERDUE
IN000035,ST037,Bell Inc,649.85,12/7/2024,PENDING
IN000036,ST031,Colon-Lopez,3400.99,7/23/2025,PENDING
IN000037,ST029,Boyd-Wolfe,3032.45,5/20/2025,PAID
IN000038,ST055,Smith Inc,2029.6,1/10/2025,OVERDUE
IN000039,ST063,Martin PLC,3714.02,5/29/2025,PENDING
IN000040,ST002,Carrillo-Wilson,4056.25,6/15/2025,PENDING
IN000041,ST010,"Wilson, Serrano and Neal",2734.13,12/24/2024,OVERDUE
IN000042,ST093,Thomas Inc,2066.25,4/9/2025,OVERDUE
IN000043,ST076,Graham-Griffin,4453.85,5/16/2025,PAID
IN000044,ST039,James-Stout,4327.08,6/17/2025,PENDING
IN000045,ST091,"Delgado, Shepard and Richardson",1130.86,1/11/2025,PENDING
IN000046,ST090,"Payne, Ryan and Hoffman",3370.89,1/11/2025,PAID
IN000047,ST011,"Coleman, Hoover and Hill",2960.03,8/21/2025,PAID
IN000048,ST002,"Beasley, Morrison and Hopkins",3296.92,9/10/2025,OVERDUE
IN000049,ST057,"Curtis, Green and Jackson",4221.42,9/12/2025,OVERDUE
IN000050,ST060,Sims Group,3322.79,9/24/2025,OVERDUE
IN000051,ST071,"Garcia, Blackburn and Fritz",3908.83,6/18/2025,PENDING
IN000052,ST068,"Pope, Watts and Smith",4593.08,10/1/2025,OVERDUE
IN000053,ST025,Christian-Williamson,2839.85,5/29/2025,PAID
IN000054,ST098,Fletcher Inc,3135.48,9/24/2025,OVERDUE
IN000055,ST075,"Webster, Best and Graham",4141.66,3/17/2025,OVERDUE
IN000056,ST022,"Ortiz, Fields and Baker",2979.22,11/10/2024,OVERDUE
IN000057,ST066,Gibson-Gomez,2961.56,11/25/2024,OVERDUE
IN000058,ST044,Jones-Nguyen,2235.29,4/1/2025,PAID
IN000059,ST007,Sherman-Adkins,1866.73,12/8/2024,PAID
IN000060,ST061,Brown-Curtis,2910.87,2/20/2025,PAID
IN000061,ST055,Cain-Bowen,4450.61,4/4/2025,PAID
IN000062,ST053,Ortiz-Henderson,3264.86,11/19/2024,PAID
IN000063,ST095,Ali-Murphy,845.14,7/28/2025,PENDING
IN000064,ST003,Aguirre-Griffith,2651.08,3/4/2025,OVERDUE
IN000065,ST084,Johnson-Moore,3034.41,7/5/2025,PAID
IN000066,ST029,Cervantes-White,1038.4,10/19/2025,PENDING
IN000067,ST040,"Taylor, Butler and Black",4589.95,6/15/2025,PENDING
IN000068,ST009,Bender Ltd,3483.95,1/19/2025,OVERDUE
IN000069,ST081,Thompson and Sons,3941.34,12/20/2024,OVERDUE
IN000070,ST032,"Klein, Hamilton and Kirk",3214.23,10/25/2025,PAID
IN000071,ST042,Cochran-Lawson,3447.12,4/17/2025,PAID
IN000072,ST009,"Ryan, Gardner and Henry",2904.46,8/14/2025,PAID
IN000073,ST075,"Jones, Bernard and Davis",4101.19,3/22/2025,OVERDUE
IN000074,ST051,Cummings-Gordon,4922.47,11/12/2024,PAID
IN000075,ST064,Wagner LLC,4386.32,5/8/2025,PENDING
IN000076,ST021,"Cooper, Brooks and Miller",1700.36,10/25/2025,PAID
IN000077,ST033,Banks Inc,4473.06,12/10/2024,PENDING
IN000078,ST060,"Moss, Washington and Schwartz",3027.87,7/25/2025,PENDING
IN000079,ST065,Garcia Inc,1561.41,1/25/2025,OVERDUE
IN000080,ST060,Stewart-Barnes,597.81,4/18/2025,OVERDUE
IN000081,ST074,"Rubio, Herring and Taylor",2759.57,10/15/2025,PAID
IN000082,ST019,Best PLC,3596.82,6/6/2025,OVERDUE
IN000083,ST015,Coffey-Miller,1531.06,2/13/2025,PAID
IN000084,ST005,"Hawkins, Ortega and Johnston",997.92,12/31/2024,PENDING
IN000085,ST087,"Benson, Whitehead and Robertson",3952.78,11/5/2024,PENDING
IN000086,ST035,"Fowler, Gordon and Chang",2758.92,12/16/2024,OVERDUE
IN000087,ST080,Hampton-Robinson,3781.45,4/4/2025,PAID
IN000088,ST094,Bray and Sons,3007.43,12/5/2024,PENDING
IN000089,ST007,Evans-Coleman,3967.1,1/4/2025,PAID
IN000090,ST022,Moore and Sons,2002.33,3/20/2025,OVERDUE
IN000091,ST081,Mitchell LLC,3693.99,10/26/2025,OVERDUE
IN000092,ST003,Scott-Baker,3749.62,2/20/2025,OVERDUE
IN000093,ST033,Smith Ltd,3784.47,1/30/2025,PAID
IN000094,ST001,Richardson-Miller,3342.82,11/12/2024,PENDING
IN000095,ST071,"Travis, Henderson and Sawyer",2233.37,4/19/2025,OVERDUE
IN000096,ST030,Martinez and Sons,1381.98,10/19/2025,PENDING
IN000097,ST087,"Baker, Mason and Howard",2218.08,7/18/2025,PENDING
IN000098,ST078,Dunn-Edwards,2986.07,11/25/2024,PENDING
IN000099,ST083,Evans LLC,3924.21,9/3/2025,OVERDUE
IN000100,ST009,Salazar Inc,3165.25,2/17/2025,PENDING
IN000101,ST023,"Kelly, Dyer and Wright",3321.99,6/14/2025,PAID
IN000102,ST034,Melton and Sons,2772.19,3/23/2025,PENDING
IN000103,ST040,Barnes and Sons,3113.73,12/15/2024,PAID
IN000104,ST013,"Choi, James and Flowers",617.07,11/28/2024,PAID
IN000105,ST072,"Robinson, Fry and Parker",4777.81,8/6/2025,PAID
IN000106,ST023,Russell LLC,3513.91,10/1/2025,PAID
IN000107,ST063,Paul-Best,1298.53,8/12/2025,OVERDUE
IN000108,ST095,Dunlap PLC,3291.61,6/27/2025,PAID
IN000109,ST081,"Kerr, Clark and Porter",1080.03,12/7/2024,PAID
IN000110,ST070,Callahan PLC,2784.1,7/26/2025,OVERDUE
IN000111,ST008,"Ramirez, Wood and Rich",1080.64,8/30/2025,PAID
IN000112,ST039,Dixon-Baker,2195.9,1/2/2025,PENDING
IN000113,ST066,Kirk Inc,1842.48,1/29/2025,PENDING
IN000114,ST038,Wright LLC,4635.66,7/20/2025,PENDING
IN000115,ST025,"Smith, Sullivan and Brown",1512.31,11/29/2024,PENDING
IN000116,ST061,"Rodriguez, Jones and Jackson",1035.4,8/30/2025,PAID
IN000117,ST099,Johnston-Woodard,2698.31,3/18/2025,OVERDUE
IN000118,ST051,"Woods, Martinez and Dean",1295.78,7/7/2025,OVERDUE
IN000119,ST022,Chavez LLC,3270.68,6/4/2025,PENDING
IN000120,ST091,Andrews-Lee,4542.73,12/27/2024,PAID
IN000121,ST094,Smith Ltd,4653.93,5/8/2025,PENDING
IN000122,ST097,Yu-Sullivan,2227.54,8/6/2025,PAID
IN000123,ST087,"Morris, Parker and Strong",2200.26,4/10/2025,PAID
IN000124,ST017,Jennings-Snyder,4930.96,10/21/2025,OVERDUE
IN000125,ST064,Barnes LLC,975.25,12/2/2024,OVERDUE
IN000126,ST010,Dixon LLC,3147.2,10/15/2025,PENDING
IN000127,ST050,Mckenzie-Cochran,1003.19,9/26/2025,PENDING
IN000128,ST077,"Johnson, Vazquez and Gray",3754.31,10/24/2025,PAID
IN000129,ST036,"Johnson, Ashley and Ortiz",3901.56,8/20/2025,OVERDUE
IN000130,ST082,"Medina, Wood and Sullivan",3648.21,6/7/2025,PAID
IN000131,ST045,Harrison Group,4713.0,7/11/2025,PAID
IN000132,ST029,Patterson-Russell,2351.49,9/29/2025,PAID
IN000133,ST021,"Adams, Pope and Diaz",1951.74,12/6/2024,OVERDUE
IN000134,ST031,"Valdez, Gordon and Bennett",4831.94,3/27/2025,PAID
IN000135,ST062,Rollins-Gomez,501.76,10/3/2025,PENDING
IN000136,ST041,"Porter, Diaz and Nichols",751.65,7/12/2025,OVERDUE
IN000137,ST082,Moyer Ltd,3917.36,10/8/2025,PENDING
IN000138,ST044,Palmer Ltd,2975.41,2/5/2025,OVERDUE
IN000139,ST032,Meyer Inc,3665.47,8/10/2025,OVERDUE
IN000140,ST036,Williams-Davis,3010.41,5/21/2025,OVERDUE
IN000141,ST037,"Williams, Barton and Vang",2300.83,12/2/2024,PENDING
IN000142,ST064,"Miles, Garrett and Mcfarland",3850.16,11/16/2024,OVERDUE
IN000143,ST052,Moore-Burns,1544.39,3/6/2025,OVERDUE
IN000144,ST017,Gates-Anderson,2746.51,7/24/2025,OVERDUE
IN000145,ST068,"Alexander, Bruce and Ortiz",3347.9,10/25/2025,OVERDUE
IN000146,ST008,"Wiggins, Harris and Costa",1514.09,12/6/2024,OVERDUE
IN000147,ST081,"Taylor, Baker and Robertson",1369.85,7/19/2025,OVERDUE
IN000148,ST011,"Aguilar, Lamb and Velez",4533.49,8/6/2025,PAID
IN000149,ST064,Herman-Yu,609.24,10/16/2025,PENDING
IN000150,ST096,"Lawson, Garcia and Reilly",3950.34,2/21/2025,PAID
IN000151,ST083,"Brown, Bowman and Meadows",4186.06,8/26/2025,OVERDUE
IN000152,ST031,"Coleman, Johnston and Hill",1451.31,1/29/2025,PENDING
IN000153,ST060,"Mendez, Hernandez and Garcia",2819.29,4/8/2025,PAID
IN000154,ST083,Hernandez Inc,4302.57,11/13/2024,PENDING
IN000155,ST055,"Delacruz, Parker and Cardenas",4097.94,12/19/2024,PENDING
IN000156,ST008,Delacruz-Jackson,895.96,5/25/2025,PAID
IN000157,ST059,Long LLC,1982.97,11/11/2024,PENDING
IN000158,ST002,Bradley-Wagner,591.38,7/9/2025,PENDING
IN000159,ST026,Kelley LLC,2594.97,4/14/2025,OVERDUE
IN000160,ST002,Hoffman and Sons,3008.0,8/15/2025,PENDING
IN000161,ST073,Green-Martin,2106.04,1/18/2025,PENDING
IN000162,ST006,Jones-Orozco,2238.88,1/30/2025,PENDING
IN000163,ST065,Mccormick Inc,1659.73,3/7/2025,PAID
IN000164,ST043,Kelley-Reynolds,1210.93,11/7/2024,OVERDUE
IN000165,ST086,"Barnes, Mullins and Mitchell",2356.05,6/3/2025,OVERDUE
IN000166,ST070,"Mendoza, Ramos and Hill",1441.03,8/15/2025,PENDING
IN000167,ST007,Crawford-Jackson,2861.53,8/10/2025,OVERDUE
IN000168,ST072,Monroe Ltd,2709.29,4/12/2025,PAID
IN000169,ST013,Chan-Lopez,843.84,9/9/2025,PENDING
IN000170,ST029,Santos and Sons,4741.37,6/2/2025,PENDING
IN000171,ST093,Ellis and Sons,3821.68,8/21/2025,PENDING
IN000172,ST054,"Bond, Miller and Harris",4478.01,1/5/2025,OVERDUE
IN000173,ST025,Cole-Stone,1521.15,8/28/2025,PAID
IN000174,ST019,Martin-Ryan,2887.72,5/19/2025,PENDING
IN000175,ST089,Schwartz-Campbell,4180.73,10/3/2025,PAID
IN000176,ST024,Ross Ltd,3192.9,7/12/2025,PENDING
IN000177,ST071,Fernandez Ltd,4000.94,1/21/2025,OVERDUE
IN000178,ST076,Ramirez-Jones,564.52,8/15/2025,OVERDUE
IN000179,ST095,Moreno PLC,2667.5,5/6/2025,PENDING
IN000180,ST016,Leblanc-Hernandez,619.32,8/6/2025,PAID
IN000181,ST059,Todd LLC,4551.04,5/29/2025,OVERDUE
IN000182,ST020,"James, Patterson and Lee",4989.26,2/13/2025,PENDING
IN000183,ST094,Allen-Johnston,1466.57,12/24/2024,PENDING
IN000184,ST047,Anderson-Walker,2853.7,5/31/2025,PENDING
IN000185,ST048,Owens-Ferguson,2446.07,1/25/2025,PENDING
IN000186,ST030,Miller Group,4739.7,3/13/2025,PENDING
IN000187,ST055,Logan-Moreno,3829.64,12/3/2024,OVERDUE
IN000188,ST028,"Rowland, Mclaughlin and Brooks",1277.52,10/21/2025,OVERDUE
IN000189,ST093,Newman and Sons,3209.84,2/22/2025,PENDING
IN000190,ST043,Nichols-Kennedy,1162.77,8/12/2025,OVERDUE
IN000191,ST022,"Smith, Kim and Allen",1683.12,11/25/2024,OVERDUE
IN000192,ST027,Foster-Johnson,2084.51,7/23/2025,PAID
IN000193,ST058,Thomas Inc,3603.55,12/1/2024,OVERDUE
IN000194,ST037,"Perry, Garcia and Henderson",2220.75,2/16/2025,PAID
IN000195,ST031,Ryan and Sons,2139.2,10/1/2025,OVERDUE
IN000196,ST062,Johnston-Nelson,4452.35,11/28/2024,OVERDUE
IN000197,ST068,Lopez PLC,1434.88,6/29/2025,PAID
IN000198,ST098,Graham-Larson,590.44,12/22/2024,PAID
IN000199,ST040,"Thomas, Hammond and Stanley",4587.48,1/13/2025,PAID
IN000200,ST065,Acevedo-Ruiz,4953.51,3/28/2025,PAID
IN000201,ST052,Taylor PLC,3311.58,12/18/2024,PENDING
IN000202,ST054,Smith Group,636.94,6/5/2025,PAID
IN000203,ST019,"Tran, Mcfarland and Contreras",1781.51,11/6/2024,PENDING
IN000204,ST027,Baker Group,904.11,10/15/2025,PAID
IN000205,ST013,Barnes PLC,3313.04,9/3/2025,PAID
IN000206,ST053,Villanueva Group,4362.38,1/2/2025,PENDING
IN000207,ST020,Chavez PLC,1534.08,2/20/2025,PAID
IN000208,ST076,"Woods, Jacobs and Mclaughlin",1117.48,6/7/2025,OVERDUE
IN000209,ST051,Cardenas-Mcclain,3976.17,3/9/2025,OVERDUE
IN000210,ST069,"Wilson, Davis and Garcia",969.58,11/5/2024,PENDING
IN000211,ST100,Graham-Gamble,4530.32,6/22/2025,PAID
IN000212,ST054,Wilson Inc,4356.16,1/14/2025,OVERDUE
IN000213,ST026,Gilbert LLC,2737.89,6/5/2025,PAID
IN000214,ST017,Long-Smith,4393.97,12/6/2024,PAID
IN000215,ST028,"Reyes, Kaiser and Davis",1448.06,7/5/2025,OVERDUE
IN000216,ST095,Bell and Sons,3043.28,2/6/2025,PAID
IN000217,ST014,"Rodriguez, Peterson and Williams",3076.73,9/15/2025,PAID
IN000218,ST027,"Williams, Hoffman and Hansen",3861.9,7/22/2025,PAID
IN000219,ST066,"Brown, Stevens and Elliott",1714.56,5/17/2025,PENDING
IN000220,ST011,"Richardson, Ross and Bell",1696.64,8/3/2025,PENDING
IN000221,ST069,Cochran Inc,3178.31,6/11/2025,PENDING
IN000222,ST031,"Williamson, Velasquez and Rodriguez",859.49,1/7/2025,OVERDUE
IN000223,ST083,Rodriguez PLC,1853.45,8/16/2025,PAID
IN000224,ST039,Larson-Kim,3086.61,2/15/2025,OVERDUE
IN000225,ST062,"Wilcox, Brown and Schneider",1413.52,12/8/2024,PAID
IN000226,ST080,"Fleming, Sanchez and Salas",4182.06,1/6/2025,OVERDUE
IN000227,ST087,Calderon-Vazquez,2300.69,4/22/2025,PENDING
IN000228,ST095,"Flores, Swanson and Thompson",3766.11,2/12/2025,PENDING
IN000229,ST076,Hoffman Group,1097.6,6/10/2025,OVERDUE
IN000230,ST030,Chang Ltd,1841.32,2/28/2025,PAID
IN000231,ST097,"White, Lewis and Anderson",1927.17,10/5/2025,PAID
IN000232,ST071,"Castillo, Evans and Smith",3880.26,5/8/2025,PENDING
IN000233,ST100,Holmes-Collins,1895.71,9/30/2025,OVERDUE
IN000234,ST030,"Villanueva, Scott and Wolfe",1090.84,6/8/2025,PENDING
IN000235,ST025,"Williams, Long and Baird",2051.84,1/11/2025,PAID
IN000236,ST019,Garcia PLC,1289.21,6/3/2025,PAID
IN000237,ST059,Brown-Long,511.56,6/17/2025,OVERDUE
IN000238,ST042,"Woods, Clark and Flowers",3925.32,8/14/2025,OVERDUE
IN000239,ST084,"Delgado, Barton and Rodgers",702.5,5/18/2025,PENDING
IN000240,ST067,Porter PLC,2533.98,4/29/2025,PENDING
IN000241,ST067,Stafford-Riddle,556.19,9/23/2025,PENDING
IN000242,ST013,"Wilson, Flores and Turner",4926.38,2/20/2025,PAID
IN000243,ST009,"Lowe, Butler and Cannon",1369.66,3/12/2025,OVERDUE
IN000244,ST042,"Frank, Richardson and Flores",950.11,10/8/2025,OVERDUE
IN000245,ST084,Bishop LLC,1344.2,2/6/2025,PAID
IN000246,ST094,Jones LLC,2033.45,4/10/2025,OVERDUE
IN000247,ST049,Murphy Ltd,987.17,3/30/2025,PAID
IN000248,ST100,Williams PLC,3082.55,10/17/2025,PAID
IN000249,ST090,Vaughn-Johnson,2843.07,7/3/2025,OVERDUE
IN000250,ST035,Melendez-Christian,4523.7,8/14/2025,OVERDUE
IN000251,ST097,Morton-Pham,1549.38,12/20/2024,OVERDUE
IN000252,ST046,Owen LLC,3842.56,10/19/2025,PENDING
IN000253,ST046,"Hernandez, Lewis and Garcia",2538.81,5/2/2025,OVERDUE
IN000254,ST028,Osborne Inc,3381.38,12/17/2024,PENDING
IN000255,ST072,Peterson Group,3571.46,6/10/2025,PENDING
IN000256,ST059,Phillips-Bass,3119.89,3/20/2025,PENDING
IN000257,ST032,Gross Group,4480.36,2/1/2025,PENDING
IN000258,ST081,"Delgado, Mahoney and Monroe",4998.72,9/29/2025,PAID
IN000259,ST078,Thompson-Davis,1113.68,11/3/2024,PAID
IN000260,ST029,"Brown, Dunn and Terry",1233.12,8/24/2025,PENDING
IN000261,ST034,Smith PLC,2979.28,6/19/2025,PAID
IN000262,ST037,"Bradley, Singleton and Ellis",1719.41,5/17/2025,PAID
IN000263,ST044,"Davis, Bullock and Rice",3905.14,2/14/2025,OVERDUE
IN000264,ST080,"Campbell, Anderson and Rubio",2780.85,2/26/2025,PAID
IN000265,ST023,Schmitt-Hicks,3711.24,11/17/2024,PENDING
IN000266,ST092,Deleon LLC,1875.84,6/6/2025,PENDING
IN000267,ST097,Peterson-Bowman,1508.94,6/25/2025,PENDING
IN000268,ST093,Pace LLC,1306.31,6/8/2025,PAID
IN000269,ST012,"Cortez, Lee and Aguirre",1618.97,12/22/2024,PENDING
IN000270,ST061,Gibson Inc,3679.23,5/11/2025,PENDING
IN000271,ST046,Blair and Sons,1610.94,5/26/2025,PAID
IN000272,ST012,Anderson-Sullivan,562.27,1/18/2025,OVERDUE
IN000273,ST016,Powell-Boyer,592.37,1/3/2025,PAID
IN000274,ST074,"Chapman, Lopez and Perez",1989.01,6/7/2025,PENDING
IN000275,ST003,Carney Ltd,3482.34,12/13/2024,PENDING
IN000276,ST014,Butler-Moreno,3676.43,6/15/2025,PAID
IN000277,ST047,"Boyd, Vincent and Nelson",1790.58,8/29/2025,PAID
IN000278,ST034,"Clark, Glass and Hanna",3102.5,10/4/2025,PAID
IN000279,ST085,Wilson PLC,2578.83,9/7/2025,PENDING
IN000280,ST037,Hernandez Group,3154.29,3/9/2025,PAID
IN000281,ST035,Guzman LLC,4826.72,11/1/2024,OVERDUE
IN000282,ST038,"Lambert, Sherman and West",3129.48,9/3/2025,PAID
IN000283,ST081,Vance-Hill,4795.34,3/9/2025,OVERDUE
IN000284,ST086,"Carpenter, Newton and Rowe",2562.74,4/13/2025,PENDING
IN000285,ST029,Anderson and Sons,3230.54,8/17/2025,PENDING
IN000286,ST034,Hughes PLC,3359.38,9/5/2025,OVERDUE
IN000287,ST098,Levy and Sons,4030.6,5/24/2025,PAID
IN000288,ST007,Moreno-Patton,4053.47,1/5/2025,PENDING
IN000289,ST060,Malone-Ball,2748.81,3/3/2025,PAID
IN000290,ST081,White Group,3554.84,10/16/2025,PAID
IN000291,ST031,Hernandez and Sons,3392.02,4/30/2025,OVERDUE
IN000292,ST002,Miles-Bennett,2472.47,8/26/2025,PENDING
IN000293,ST037,Phillips-Brewer,2055.92,4/10/2025,PAID
IN000294,ST015,"Summers, Davis and Reeves",3721.74,1/20/2025,OVERDUE
IN000295,ST017,Frank-Bishop,739.95,5/29/2025,OVERDUE
IN000296,ST019,Davis Inc,3434.14,12/26/2024,PENDING
IN000297,ST013,Curry-Kline,1536.89,4/8/2025,OVERDUE
IN000298,ST060,Walker-Keller,4033.14,7/21/2025,PENDING
IN000299,ST024,Larson Group,1961.17,12/26/2024,OVERDUE
IN000300,ST097,"King, Kelley and George",2332.1,5/25/2025,PENDING
IN000301,ST033,Jordan Ltd,4900.75,7/1/2025,PENDING
IN000302,ST068,Villegas-Miller,1235.32,6/11/2025,PAID
IN000303,ST079,"Weber, Griffin and Best",1622.03,7/11/2025,PAID
IN000304,ST052,Palmer LLC,1901.08,3/26/2025,OVERDUE
IN000305,ST061,Smith and Sons,3334.12,5/12/2025,PENDING
IN000306,ST083,Lamb-Cole,3714.8,11/16/2024,OVERDUE
IN000307,ST020,Gilmore PLC,1666.09,1/3/2025,OVERDUE
IN000308,ST092,Washington-Nicholson,2011.76,7/29/2025,OVERDUE
IN000309,ST015,Jordan-Coleman,960.73,6/3/2025,OVERDUE
IN000310,ST070,Serrano-Stanley,4970.74,2/8/2025,OVERDUE
IN000311,ST062,Chan and Sons,1455.43,10/26/2025,PAID
IN000312,ST029,Johnson-Lynch,3739.68,3/3/2025,PENDING
IN000313,ST100,Morales-Williams,4871.24,11/26/2024,OVERDUE
IN000314,ST038,Potter Ltd,908.27,7/2/2025,PAID
IN000315,ST095,"Thompson, Valdez and Sosa",1577.36,11/13/2024,PENDING
IN000316,ST009,"Holmes, Koch and Flores",2694.91,5/4/2025,PENDING
IN000317,ST081,Conley-Rosales,1416.9,2/1/2025,OVERDUE
IN000318,ST099,Spencer Ltd,2406.57,2/12/2025,PENDING
IN000319,ST041,"Velasquez, Nguyen and Bowers",2576.6,2/16/2025,PAID
IN000320,ST074,Pham Group,4596.38,4/15/2025,OVERDUE
IN000321,ST014,Brown PLC,2420.95,7/18/2025,PAID
IN000322,ST002,Clark Ltd,685.42,10/3/2025,PENDING
IN000323,ST030,"Stevens, Pope and Joseph",3989.98,11/15/2024,PENDING
IN000324,ST081,Newman-Gonzales,3063.84,7/20/2025,PAID
IN000325,ST028,Gonzalez Inc,1667.16,2/7/2025,PENDING
IN000326,ST015,Werner Group,4618.56,3/8/2025,PENDING
IN000327,ST086,"Jacobs, Garcia and Beck",4905.88,11/30/2024,PENDING
IN000328,ST031,Miller and Sons,2986.62,7/8/2025,PENDING
IN000329,ST060,"Hicks, Ochoa and Johnston",2456.17,8/10/2025,PAID
IN000330,ST095,"Boyer, Guerrero and Thompson",3706.26,7/29/2025,PAID
IN000331,ST008,Scott-Gray,3033.58,3/25/2025,OVERDUE
IN000332,ST082,Colon-Chase,1448.44,3/19/2025,PAID
IN000333,ST099,Hernandez Ltd,3862.97,10/25/2025,OVERDUE
IN000334,ST057,Howell-Levy,1597.84,9/22/2025,OVERDUE
IN000335,ST035,"Le, Mclean and Wolfe",4026.81,8/26/2025,OVERDUE
IN000336,ST044,Marks-Robertson,3149.15,4/17/2025,PENDING
IN000337,ST090,"Fisher, Skinner and Thornton",4132.45,9/19/2025,OVERDUE
IN000338,ST024,"Lopez, Ellis and Goodman",3022.99,1/30/2025,PAID
IN000339,ST086,Fowler-Sutton,3572.91,12/5/2024,OVERDUE
IN000340,ST019,Carter Ltd,923.47,6/11/2025,PENDING
IN000341,ST027,"Garcia, Mcclain and Werner",3915.38,2/15/2025,PENDING
IN000342,ST041,Thompson-Anthony,4051.1,10/17/2025,PENDING
IN000343,ST093,"Williams, Jones and Mathis",4805.12,8/13/2025,PAID
IN000344,ST014,Montgomery-Vasquez,1103.91,5/27/2025,PENDING
IN000345,ST054,Williams-Morris,3599.7,5/13/2025,PAID
IN000346,ST050,"Williams, Mills and Hernandez",1005.33,12/14/2024,PENDING
IN000347,ST049,Ward Inc,955.34,7/27/2025,OVERDUE
IN000348,ST047,Bean-Miller,1252.39,12/19/2024,PENDING
IN000349,ST046,Grant-Bowers,4897.83,4/30/2025,PENDING
IN000350,ST051,Martinez-Carrillo,2860.52,6/24/2025,PAID
IN000351,ST023,Ellis Inc,3857.57,6/21/2025,PENDING
IN000352,ST072,Taylor-Harding,3993.73,10/6/2025,OVERDUE
IN000353,ST061,Hart and Sons,3364.56,9/12/2025,PAID
IN000354,ST012,Roberts-Hayes,1580.65,5/2/2025,OVERDUE
IN000355,ST092,Holland-Stewart,4130.83,6/8/2025,OVERDUE
IN000356,ST074,Bishop Ltd,2110.13,12/15/2024,OVERDUE
IN000357,ST008,Parker Inc,4372.82,3/15/2025,PAID
IN000358,ST009,"Branch, Mccarthy and Ray",688.06,7/24/2025,PAID
IN000359,ST096,Stephenson Ltd,2632.39,4/22/2025,PAID
IN000360,ST046,Hamilton Group,3681.05,8/10/2025,OVERDUE
IN000361,ST091,Calderon-Clark,1763.85,2/6/2025,OVERDUE
IN000362,ST038,West Group,4260.38,12/8/2024,OVERDUE
IN000363,ST097,Johnson Inc,638.58,9/3/2025,PAID
IN000364,ST010,"Anderson, Daniels and Vega",2669.14,9/30/2025,PENDING
IN000365,ST092,Ray-Price,4349.56,7/21/2025,PENDING
IN000366,ST056,Wilkinson and Sons,3070.84,4/1/2025,OVERDUE
IN000367,ST035,"Harris, Osborne and Gibson",2975.92,6/4/2025,PENDING
IN000368,ST036,Wade-Ayala,4548.96,8/10/2025,PENDING
IN000369,ST091,Salas-Carter,795.25,11/18/2024,PAID
IN000370,ST044,Davis-Maldonado,1055.03,3/29/2025,PAID
IN000371,ST062,"Haynes, Hicks and Wright",4356.46,2/13/2025,OVERDUE
IN000372,ST078,"Walker, Berry and Wheeler",4884.74,6/28/2025,OVERDUE
IN000373,ST091,"Miller, Martin and Sanchez",2570.98,6/19/2025,OVERDUE
IN000374,ST002,Fleming Inc,1956.5,2/1/2025,PENDING
IN000375,ST017,Evans Ltd,1428.42,10/8/2025,OVERDUE
IN000376,ST018,Donaldson and Sons,4430.35,6/6/2025,OVERDUE
