inventory_id,station_id,fuel_type,delivery_liters,current_stock,delivery_date
INV015987,ST064,CNG,13856,99916,3/26/2025
INV020683,ST042,CNG,19458,99913,2/1/2025
INV045780,ST050,CNG,17796,99913,2/5/2025
INV030983,ST045,CNG,8554,99912,7/22/2025
INV028538,ST091,Premium,11072,99911,10/10/2025
INV027620,ST065,Petrol,10858,99909,9/16/2025
INV018457,ST068,Petrol,3460,99903,10/4/2025
INV012117,ST007,Petrol,10657,99898,4/27/2025
INV011575,ST081,Diesel,18418,99896,9/29/2025
INV027834,ST058,Premium,5585,99894,12/27/2024
INV039352,ST014,Petrol,16864,99893,1/11/2025
INV048822,ST058,Premium,16540,99892,2/11/2025
INV019168,ST062,CNG,10867,99890,8/31/2025
INV046135,ST040,Premium,10634,99890,7/30/2025
INV039088,ST072,Petrol,12427,99888,3/6/2025
INV024275,ST087,Premium,6637,99882,5/12/2025
INV041460,ST026,Diesel,17641,99880,5/19/2025
INV023593,ST077,Premium,19950,99878,2/1/2025
INV023112,ST007,Premium,17961,99875,3/21/2025
INV044757,ST027,Petrol,5465,99873,9/6/2025
INV019468,ST059,Petrol,2720,99868,9/1/2025
INV008097,ST022,Diesel,3010,99866,4/11/2025
INV030170,ST027,Premium,15510,99864,7/18/2025
INV002755,ST025,CNG,11761,99862,8/13/2025
INV004607,ST043,Petrol,1200,99859,2/22/2025
INV022348,ST089,Premium,946,99858,7/27/2025
INV032640,ST032,Diesel,12385,99857,3/2/2025
INV047663,ST070,Premium,18511,99856,3/12/2025
INV039369,ST083,Diesel,15628,99852,3/30/2025
INV039028,ST096,Premium,18443,99850,6/15/2025
INV044505,ST043,Diesel,14857,99850,7/26/2025
INV018952,ST022,Petrol,18692,99849,2/3/2025
INV049214,ST024,CNG,18701,99845,9/11/2025
INV040781,ST056,Diesel,15833,99844,2/13/2025
INV046744,ST002,Diesel,17646,99843,7/17/2025
INV042067,ST078,Petrol,13926,99837,1/2/2025
INV027418,ST090,Premium,4279,99835,1/31/2025
INV018619,ST099,CNG,19956,99833,4/6/2025
INV029510,ST017,Diesel,15647,99833,12/9/2024
INV045031,ST017,Diesel,18426,99831,2/12/2025
INV036547,ST073,Petrol,12098,99829,4/17/2025
INV033674,ST013,Diesel,6918,99828,10/23/2025
INV022878,ST100,Petrol,17581,99821,8/28/2025
INV026694,ST062,Premium,2156,99821,2/23/2025
INV040599,ST035,CNG,19678,99817,1/23/2025
INV019447,ST043,CNG,13182,99815,2/19/2025
INV049756,ST031,Petrol,15764,99812,7/20/2025
INV001450,ST038,CNG,13235,99811,4/26/2025
INV005525,ST085,Petrol,6819,99811,7/6/2025
INV009645,ST021,CNG,3710,99809,7/16/2025
INV028368,ST048,CNG,6018,99809,1/25/2025
INV032919,ST097,Petrol,9212,99807,9/30/2025
INV022602,ST080,CNG,18473,99804,11/12/2024
INV041677,ST071,Petrol,6241,99804,1/27/2025
INV030277,ST015,Diesel,19428,99801,11/3/2024
INV022448,ST008,Petrol,14334,99800,5/29/2025
INV031762,ST080,CNG,10251,99800,6/4/2025
INV045376,ST024,CNG,15901,99799,8/5/2025
INV027238,ST032,CNG,17443,99798,1/12/2025
INV049110,ST075,Diesel,1776,99798,12/10/2024
INV040939,ST018,Diesel,17529,99797,4/28/2025
INV016127,ST001,CNG,18902,99796,8/22/2025
INV041575,ST093,CNG,6222,99789,5/27/2025
INV046920,ST076,Diesel,570,99789,9/21/2025
INV027308,ST009,Premium,16636,99787,11/6/2024
INV042246,ST091,Petrol,12287,99785,9/28/2025
INV046812,ST089,CNG,11455,99783,8/5/2025
INV028367,ST005,Petrol,11301,99778,11/11/2024
INV021475,ST089,Diesel,4756,99776,5/17/2025
INV037015,ST100,CNG,17807,99776,4/14/2025
INV004901,ST068,Diesel,15887,99773,5/10/2025
INV034677,ST010,Diesel,9793,99770,11/18/2024
INV005756,ST093,Diesel,5434,99768,9/4/2025
INV034648,ST063,Premium,17723,99767,1/13/2025
INV015374,ST062,Diesel,12623,99765,12/18/2024
INV035514,ST045,Petrol,13903,99765,8/4/2025
INV028273,ST079,Petrol,11164,99763,5/13/2025
INV045633,ST057,Diesel,2796,99762,7/10/2025
INV004129,ST022,Petrol,4522,99761,12/2/2024
INV001762,ST070,CNG,6459,99759,7/2/2025
INV003719,ST052,Petrol,8715,99752,11/30/2024
INV041681,ST079,Petrol,13810,99751,7/6/2025
INV008886,ST032,CNG,15001,99750,9/26/2025
INV022594,ST001,Premium,17732,99750,7/27/2025
INV002335,ST089,Diesel,6755,99749,11/3/2024
INV047726,ST013,Diesel,19586,99748,8/2/2025
INV025110,ST041,Petrol,19539,99747,4/26/2025
INV010843,ST007,CNG,2023,99743,8/8/2025
INV027724,ST066,Diesel,14671,99739,1/27/2025
INV018884,ST067,Premium,10274,99733,3/23/2025
INV042820,ST015,Diesel,3701,99732,8/3/2025
INV034394,ST071,Premium,13804,99731,4/12/2025
INV049865,ST025,Diesel,19433,99731,7/7/2025
INV025754,ST030,Diesel,7902,99727,9/30/2025
INV043636,ST015,Premium,10388,99725,7/11/2025
INV019379,ST035,CNG,14907,99723,11/19/2024
INV029829,ST056,CNG,11054,99720,4/16/2025
INV032969,ST084,Premium,19669,99720,11/21/2024
INV022409,ST003,Petrol,11338,99719,12/21/2024
INV025186,ST041,CNG,864,99714,4/26/2025
INV016830,ST057,Diesel,14115,99709,5/20/2025
INV009640,ST040,Petrol,18806,99707,12/5/2024
INV011593,ST052,CNG,8349,99706,8/19/2025
INV004758,ST076,Premium,2265,99705,9/16/2025
INV026560,ST076,Premium,12355,99701,1/23/2025
INV005144,ST020,Diesel,4384,99700,10/11/2025
INV021704,ST007,CNG,3267,99698,6/4/2025
INV027157,ST020,Premium,4625,99698,12/27/2024
INV049402,ST005,Premium,18796,99687,4/6/2025
INV030064,ST073,Premium,6302,99686,5/18/2025
INV042513,ST010,Petrol,3011,99685,10/28/2025
INV036967,ST003,Premium,12000,99684,11/7/2024
INV002242,ST094,Diesel,14875,99682,11/9/2024
INV033584,ST082,Diesel,14035,99680,3/5/2025
INV007918,ST019,Petrol,7605,99676,4/9/2025
INV004620,ST051,Diesel,16909,99674,4/16/2025
INV037051,ST061,Diesel,14207,99673,9/16/2025
INV005116,ST019,Diesel,15184,99666,12/27/2024
INV042570,ST093,Premium,3447,99666,10/9/2025
INV025359,ST006,Petrol,1126,99664,9/10/2025
INV033245,ST100,Petrol,10652,99664,6/25/2025
INV023066,ST048,Petrol,19188,99663,8/22/2025
INV020634,ST046,Petrol,15116,99662,7/26/2025
INV001282,ST091,Petrol,17557,99657,6/25/2025
INV038007,ST004,Diesel,1709,99655,7/4/2025
INV044168,ST058,Diesel,9864,99655,8/22/2025
INV013226,ST022,CNG,13832,99654,11/23/2024
INV016016,ST016,Premium,14871,99654,12/2/2024
INV028360,ST085,Premium,14946,99654,1/29/2025
INV019937,ST089,Premium,6284,99648,9/23/2025
INV040982,ST096,CNG,14854,99647,1/22/2025
INV033884,ST095,Petrol,14980,99636,10/9/2025
INV010433,ST053,Petrol,5304,99633,12/3/2024
INV029398,ST030,Premium,2787,99632,3/1/2025
INV003605,ST069,Diesel,6110,99629,12/16/2024
INV031382,ST064,CNG,19421,99626,12/12/2024
INV031348,ST062,Petrol,12094,99624,10/16/2025
INV026002,ST075,Petrol,10344,99621,4/9/2025
INV048175,ST043,Premium,5747,99620,6/8/2025
INV037800,ST090,Petrol,9791,99618,1/8/2025
INV047039,ST012,Diesel,8131,99618,7/16/2025
INV002695,ST042,Premium,12889,99614,6/21/2025
INV006595,ST070,CNG,17381,99611,1/12/2025
INV016095,ST027,Petrol,16734,99611,6/19/2025
INV006423,ST083,CNG,5531,99610,1/8/2025
INV022643,ST072,CNG,10388,99606,8/31/2025
INV030644,ST013,Petrol,6818,99604,12/5/2024
INV031339,ST062,CNG,2088,99604,3/10/2025
INV039231,ST093,Premium,16013,99602,7/1/2025
INV037709,ST051,CNG,8061,99599,5/13/2025
INV043546,ST052,Petrol,3983,99598,4/8/2025
INV046244,ST100,Petrol,14671,99597,8/2/2025
INV018448,ST036,CNG,8621,99596,1/4/2025
INV027577,ST058,CNG,13202,99596,6/4/2025
INV026337,ST039,CNG,16056,99591,2/3/2025
INV005044,ST087,Petrol,13462,99587,3/7/2025
INV019665,ST003,CNG,16601,99583,6/15/2025
INV032053,ST014,Premium,688,99583,2/16/2025
INV037912,ST078,Premium,6016,99578,2/22/2025
INV040838,ST057,Diesel,10230,99578,2/4/2025
INV001062,ST023,Diesel,2995,99573,3/25/2025
INV008289,ST031,CNG,15916,99573,12/24/2024
INV025980,ST077,Petrol,18043,99567,7/31/2025
INV031796,ST030,Petrol,18895,99565,7/5/2025
INV003000,ST045,Premium,1836,99564,2/1/2025
INV027533,ST029,CNG,11263,99563,9/13/2025
INV000121,ST070,Petrol,17552,99561,11/15/2024
INV028475,ST010,Petrol,8609,99561,4/30/2025
INV017272,ST064,Petrol,15314,99559,6/14/2025
INV025169,ST054,Premium,12564,99558,5/25/2025
INV036616,ST047,Premium,9751,99557,6/27/2025
INV034136,ST013,Diesel,12178,99555,6/29/2025
INV031033,ST037,CNG,15672,99554,3/28/2025
INV045013,ST040,CNG,14422,99550,5/24/2025
INV004313,ST002,Diesel,1633,99549,5/4/2025
INV009350,ST099,Premium,2886,99549,9/13/2025
INV034253,ST017,Premium,15625,99549,11/1/2024
INV002501,ST039,Diesel,5108,99548,10/30/2024
INV025760,ST017,Diesel,842,99547,6/10/2025
INV033958,ST057,Petrol,11236,99547,6/12/2025
INV045959,ST078,CNG,7334,99547,12/21/2024
INV029943,ST040,Petrol,11196,99545,5/1/2025
INV009966,ST028,Petrol,5910,99543,2/12/2025
INV035479,ST098,Petrol,9822,99542,3/16/2025
INV038115,ST095,Premium,16887,99542,11/11/2024
INV041678,ST050,Diesel,15992,99540,10/29/2024
INV042744,ST071,CNG,2631,99539,10/21/2025
INV029506,ST007,Diesel,6924,99536,10/31/2024
INV023623,ST058,Premium,10477,99535,7/3/2025
INV003005,ST061,Diesel,17480,99534,1/15/2025
INV019094,ST006,Petrol,15259,99534,7/27/2025
INV003725,ST059,Diesel,4416,99532,12/5/2024
INV014294,ST060,Premium,10859,99531,7/14/2025
INV043756,ST060,Premium,14371,99530,5/30/2025
INV015580,ST061,Premium,8554,99527,11/11/2024
INV009377,ST066,Premium,2542,99525,2/28/2025
INV014841,ST091,Premium,2956,99525,2/3/2025
INV031638,ST051,Diesel,12934,99522,3/12/2025
INV033563,ST023,CNG,17131,99521,4/10/2025
INV044642,ST075,Premium,1482,99519,1/29/2025
INV008024,ST081,Diesel,14869,99511,7/25/2025
INV029503,ST009,Premium,2827,99508,4/17/2025
INV047992,ST052,Premium,15060,99504,11/30/2024
INV043353,ST067,Premium,16492,99502,8/31/2025
INV029517,ST073,Diesel,10217,99501,11/3/2024
INV017211,ST080,Diesel,17752,99498,4/2/2025
INV036142,ST029,Diesel,6121,99495,6/28/2025
INV032657,ST057,Premium,13130,99490,12/3/2024
INV013734,ST040,CNG,13245,99489,6/4/2025
INV020989,ST020,Petrol,18769,99486,5/6/2025
INV027218,ST075,CNG,10958,99485,6/13/2025
INV025799,ST070,Diesel,14779,99484,12/12/2024
INV014994,ST037,CNG,5336,99482,6/8/2025
INV002190,ST038,CNG,16826,99480,6/9/2025
INV014887,ST099,Diesel,2735,99480,7/2/2025
INV015789,ST071,Diesel,1447,99480,6/3/2025
INV027316,ST035,Petrol,19655,99479,2/16/2025
INV039588,ST075,Premium,14607,99477,8/30/2025
INV041532,ST008,Diesel,11825,99477,11/21/2024
INV037999,ST054,Diesel,8021,99475,10/30/2024
INV011330,ST045,Premium,7191,99474,5/26/2025
INV026071,ST045,Premium,7757,99472,6/24/2025
INV001845,ST054,CNG,8468,99468,12/12/2024
INV003723,ST031,CNG,14089,99466,12/6/2024
INV026161,ST097,Petrol,14926,99466,5/2/2025
INV045587,ST055,Premium,17670,99465,9/23/2025
INV023402,ST049,Diesel,4807,99463,7/31/2025
INV014452,ST084,Petrol,12601,99462,1/2/2025
INV017524,ST078,Diesel,13295,99461,10/16/2025
INV019925,ST071,Premium,9983,99451,7/24/2025
INV030048,ST003,Petrol,15226,99450,4/23/2025
INV023010,ST047,Premium,4531,99448,8/26/2025
INV006650,ST094,Diesel,10603,99447,8/26/2025
INV023904,ST060,Petrol,13557,99442,12/19/2024
INV006589,ST078,Petrol,15881,99440,11/8/2024
INV037316,ST055,Petrol,9907,99437,1/16/2025
INV042554,ST018,Premium,17267,99436,6/26/2025
INV043194,ST060,Diesel,15895,99436,3/20/2025
INV042949,ST072,Petrol,17128,99432,1/28/2025
INV011914,ST033,Diesel,3916,99431,2/26/2025
INV027352,ST008,Petrol,3044,99429,9/12/2025
INV048942,ST073,CNG,7788,99427,9/1/2025
INV047275,ST058,Petrol,13084,99415,11/15/2024
INV013286,ST010,Diesel,3636,99414,12/30/2024
INV016855,ST015,Petrol,13291,99414,8/24/2025
INV018772,ST007,Petrol,7114,99412,1/23/2025
INV026895,ST089,Petrol,4033,99412,3/4/2025
INV025016,ST021,Premium,11100,99411,11/23/2024
INV044620,ST033,Diesel,4720,99410,8/8/2025
INV016626,ST083,Diesel,19699,99408,3/19/2025
INV023567,ST008,Diesel,5573,99405,2/8/2025
INV000380,ST048,Premium,9509,99403,6/28/2025
INV016820,ST051,Diesel,19526,99402,4/8/2025
INV024049,ST095,Premium,10079,99402,6/12/2025
INV029353,ST050,Petrol,7524,99395,12/16/2024
INV005848,ST015,Petrol,8391,99392,10/25/2025
INV008095,ST030,Premium,4110,99390,6/18/2025
INV037507,ST043,CNG,9020,99389,3/29/2025
INV012322,ST055,Petrol,624,99387,3/29/2025
INV033377,ST069,Diesel,1592,99385,1/21/2025
INV034369,ST057,Premium,7771,99385,3/11/2025
INV047464,ST005,Diesel,5516,99385,9/3/2025
INV038918,ST059,Diesel,14533,99382,12/5/2024
INV038740,ST097,Petrol,16908,99380,4/18/2025
INV008665,ST022,Premium,594,99379,9/7/2025
INV003190,ST059,CNG,9140,99374,10/31/2024
INV004321,ST042,Premium,18390,99374,1/25/2025
INV033652,ST032,Petrol,7587,99373,11/8/2024
INV020772,ST051,Diesel,7888,99372,2/13/2025
INV044064,ST022,CNG,8178,99372,12/9/2024
INV047166,ST046,Diesel,16457,99372,9/29/2025
INV037653,ST098,CNG,8601,99371,8/4/2025
INV010259,ST040,Petrol,18254,99365,11/30/2024
INV001072,ST100,Petrol,16565,99364,9/19/2025
INV019195,ST045,CNG,5980,99358,3/14/2025
INV044336,ST036,Premium,5202,99358,11/15/2024
INV046512,ST025,Petrol,3750,99357,8/26/2025
INV049119,ST077,Diesel,6170,99352,5/30/2025
INV033630,ST025,Premium,3783,99349,10/17/2025
INV008938,ST089,Petrol,760,99347,2/26/2025
INV032853,ST051,CNG,14792,99346,1/11/2025
INV045823,ST059,Petrol,15537,99345,5/15/2025
INV030528,ST033,Premium,4072,99344,12/8/2024
INV033085,ST022,CNG,7354,99344,10/19/2025
INV011359,ST082,Premium,18767,99343,2/16/2025
INV013497,ST018,CNG,14439,99337,10/2/2025
INV000266,ST058,CNG,12548,99332,5/10/2025
INV009509,ST054,CNG,17662,99332,9/30/2025
INV017237,ST071,Premium,16268,99332,1/25/2025
INV012903,ST085,CNG,10318,99330,3/27/2025
INV016615,ST080,Petrol,18261,99329,5/4/2025
INV048614,ST003,Premium,10313,99329,12/13/2024
INV013481,ST017,CNG,12440,99327,8/23/2025
INV006287,ST037,Diesel,1174,99325,1/30/2025
INV042325,ST001,Petrol,10585,99325,9/1/2025
INV028012,ST006,Petrol,11882,99324,5/20/2025
INV026554,ST035,Diesel,17258,99316,8/16/2025
INV002183,ST082,CNG,10177,99312,3/16/2025
INV032377,ST027,Diesel,12756,99312,3/11/2025
INV009602,ST005,CNG,18132,99309,5/11/2025
INV009801,ST024,Premium,14356,99302,4/21/2025
INV018522,ST032,CNG,13776,99302,7/22/2025
INV044003,ST021,Petrol,11763,99301,10/1/2025
INV013408,ST011,CNG,5151,99298,7/9/2025
INV023525,ST033,Premium,1146,99298,1/21/2025
INV009717,ST074,Petrol,18725,99297,3/7/2025
INV034870,ST095,CNG,2080,99297,11/11/2024
INV042506,ST003,Premium,13406,99297,3/2/2025
INV029601,ST059,Petrol,14531,99294,5/12/2025
INV014610,ST070,Diesel,2520,99290,6/5/2025
INV009579,ST093,Petrol,8668,99288,12/27/2024
INV026592,ST046,Diesel,13598,99288,5/28/2025
INV002315,ST090,Petrol,6642,99283,12/9/2024
INV010570,ST052,Diesel,12239,99280,8/15/2025
INV026044,ST022,Diesel,2395,99278,5/1/2025
INV036764,ST033,Petrol,7968,99278,2/1/2025
INV001726,ST016,Diesel,506,99277,8/15/2025
INV023628,ST030,Petrol,10250,99276,8/23/2025
INV010372,ST082,Petrol,12906,99275,5/14/2025
INV027754,ST055,Petrol,1072,99273,10/3/2025
INV028252,ST057,CNG,15580,99268,5/23/2025
INV016050,ST024,Premium,3536,99264,12/22/2024
INV024996,ST060,Diesel,5702,99263,6/1/2025
INV014407,ST013,CNG,19025,99260,12/29/2024
INV040187,ST071,Diesel,17760,99258,2/20/2025
INV024868,ST095,Premium,13740,99253,10/28/2025
INV024923,ST017,Diesel,7732,99252,6/28/2025
INV040209,ST016,Petrol,9911,99251,9/3/2025
INV000482,ST089,Premium,6456,99249,6/2/2025
INV023891,ST063,CNG,18438,99249,12/24/2024
INV017210,ST084,Premium,10836,99245,1/2/2025
INV006110,ST043,Petrol,5004,99244,5/8/2025
INV022681,ST055,CNG,10181,99244,2/4/2025
INV037262,ST031,Premium,4607,99240,9/21/2025
INV021359,ST047,Petrol,15627,99238,11/10/2024
INV026981,ST043,Diesel,18242,99238,1/3/2025
INV030071,ST049,Diesel,8012,99238,10/18/2025
INV000716,ST088,Premium,17248,99234,2/20/2025
INV027560,ST029,Petrol,14032,99234,3/29/2025
INV022129,ST083,Premium,3532,99233,6/10/2025
INV017510,ST077,Petrol,16507,99232,7/1/2025
INV035063,ST074,Petrol,14500,99230,12/11/2024
INV014383,ST020,CNG,11515,99226,7/17/2025
INV018683,ST012,Diesel,12782,99226,4/29/2025
INV035753,ST017,CNG,16990,99220,2/3/2025
INV033235,ST089,Diesel,12574,99217,11/21/2024
INV046338,ST048,Petrol,8214,99216,10/19/2025
INV048282,ST025,Premium,9640,99215,1/12/2025
INV011875,ST036,CNG,13953,99214,11/8/2024
INV044146,ST067,CNG,8158,99214,3/20/2025
INV002536,ST095,Petrol,7109,99213,5/24/2025
INV007777,ST051,Petrol,1381,99212,8/28/2025
INV019290,ST047,Diesel,10920,99212,8/16/2025
INV013755,ST048,Diesel,11036,99211,11/3/2024
INV007940,ST051,CNG,6468,99208,12/12/2024
INV027422,ST085,Diesel,10690,99208,8/18/2025
INV017877,ST040,CNG,18940,99205,7/13/2025
INV004524,ST012,CNG,11874,99203,10/29/2025
INV016100,ST084,CNG,6507,99203,9/12/2025
INV013111,ST068,Petrol,19721,99202,9/28/2025
INV019719,ST080,Diesel,9915,99200,7/11/2025
INV027770,ST056,CNG,12406,99196,11/18/2024
INV025513,ST052,CNG,11478,99195,12/24/2024
INV042251,ST042,CNG,18143,99192,5/13/2025
INV002073,ST044,Diesel,14388,99190,8/12/2025
INV010730,ST013,Premium,2308,99189,11/3/2024
INV024941,ST091,CNG,15134,99188,4/10/2025
INV028387,ST043,CNG,13998,99188,12/7/2024
INV049384,ST026,Premium,3286,99188,3/24/2025
INV020388,ST070,Premium,15264,99186,9/28/2025
INV006895,ST068,Petrol,704,99184,11/14/2024
INV013959,ST004,Diesel,7531,99184,2/26/2025
INV030140,ST037,Diesel,14616,99184,12/31/2024
INV033476,ST021,Petrol,8097,99183,1/16/2025
INV049166,ST058,Premium,9903,99183,7/23/2025
INV017296,ST028,Petrol,14772,99182,10/22/2025
INV005214,ST029,CNG,10710,99181,7/9/2025
INV004096,ST052,Premium,15714,99177,12/28/2024
INV019319,ST043,Petrol,5763,99176,6/24/2025
INV032049,ST057,Premium,1118,99176,1/22/2025
INV046208,ST063,Diesel,5262,99173,8/20/2025
INV044158,ST071,Petrol,7314,99170,2/6/2025
INV037240,ST033,Petrol,14935,99163,3/22/2025
INV043704,ST030,Petrol,18848,99163,6/8/2025
INV022767,ST012,CNG,11054,99154,2/20/2025
INV007949,ST058,CNG,1765,99152,4/25/2025
INV000225,ST076,Petrol,8581,99151,2/12/2025
INV030543,ST080,Premium,2916,99145,4/23/2025
INV023562,ST041,Diesel,3380,99143,3/10/2025
INV036504,ST087,Petrol,12394,99143,8/18/2025
INV019721,ST036,Petrol,3470,99141,4/26/2025
INV024495,ST086,Premium,2515,99141,12/12/2024
INV034696,ST047,CNG,14098,99141,12/5/2024
INV029846,ST075,Petrol,8898,99139,6/10/2025
INV033975,ST048,Premium,3859,99138,6/15/2025
INV039485,ST085,Premium,19380,99138,2/19/2025
INV043950,ST022,CNG,19484,99136,7/10/2025
INV013233,ST013,CNG,18494,99134,7/19/2025
INV023292,ST026,Premium,9812,99131,8/27/2025
INV046354,ST053,CNG,3975,99130,6/6/2025
INV048059,ST009,Petrol,6829,99127,6/3/2025
INV010803,ST026,Diesel,10652,99125,1/13/2025
INV034133,ST055,Petrol,9382,99124,12/23/2024
INV020854,ST040,CNG,19222,99123,6/20/2025
INV021234,ST066,Premium,17293,99123,1/13/2025
INV045525,ST049,CNG,19888,99123,10/19/2025
INV010513,ST076,Petrol,8800,99121,8/7/2025
INV026600,ST014,Petrol,17699,99121,12/17/2024
INV029273,ST094,CNG,2429,99118,2/9/2025
INV004497,ST002,Diesel,11019,99117,8/14/2025
INV047158,ST076,Premium,4055,99116,11/23/2024
INV019382,ST098,Petrol,4839,99115,6/3/2025
INV022949,ST073,CNG,18047,99114,6/28/2025
INV040854,ST008,Petrol,6591,99113,9/16/2025
INV010502,ST094,Premium,5011,99112,11/27/2024
INV029200,ST042,Premium,3029,99111,3/29/2025
INV007322,ST031,CNG,2711,99104,10/23/2025
INV036893,ST051,CNG,12609,99103,4/27/2025
INV026323,ST078,Premium,11680,99102,1/5/2025
INV042381,ST040,Premium,2830,99100,4/24/2025
INV014471,ST079,Diesel,15530,99099,3/30/2025
INV005886,ST063,CNG,2900,99093,4/30/2025
INV011190,ST058,Premium,3016,99092,9/7/2025
INV030438,ST005,CNG,4333,99089,2/4/2025
INV026014,ST047,Diesel,16518,99087,4/13/2025
INV043173,ST037,Diesel,3345,99087,7/17/2025
INV007084,ST089,CNG,12182,99085,2/20/2025
INV025816,ST029,Diesel,17376,99080,2/14/2025
INV031795,ST022,CNG,13014,99079,5/23/2025
INV028330,ST070,Petrol,13191,99078,10/23/2025
INV013341,ST057,Petrol,10110,99077,5/26/2025
INV013189,ST085,Petrol,1199,99076,2/28/2025
INV005837,ST090,Premium,10700,99075,11/28/2024
INV037301,ST028,Petrol,9718,99075,11/28/2024
INV039681,ST034,Diesel,11663,99075,6/9/2025
INV038019,ST044,Diesel,9353,99073,10/27/2025
INV022171,ST004,Diesel,3543,99065,11/15/2024
INV005723,ST029,CNG,12512,99063,10/19/2025
INV032461,ST002,Diesel,8718,99060,9/4/2025
INV013715,ST027,Petrol,13461,99058,4/10/2025
INV019127,ST064,CNG,10808,99057,10/17/2025
INV044566,ST094,Petrol,15818,99056,7/5/2025
INV003749,ST076,Diesel,19867,99055,10/3/2025
INV011763,ST074,Diesel,3953,99054,12/13/2024
INV012481,ST025,Petrol,15458,99054,9/25/2025
INV041335,ST053,Premium,5012,99053,8/13/2025
INV006294,ST055,CNG,16851,99049,1/1/2025
INV001178,ST038,Diesel,11145,99047,5/15/2025
INV002713,ST022,Diesel,17458,99045,11/5/2024
INV016403,ST039,Premium,8714,99045,1/27/2025
INV011623,ST077,Diesel,8392,99042,12/12/2024
INV014323,ST080,Petrol,1781,99041,9/27/2025
INV021783,ST060,Diesel,2748,99041,9/14/2025
INV005744,ST038,Petrol,10882,99040,3/27/2025
INV005794,ST051,Petrol,10652,99038,7/30/2025
INV030424,ST086,Diesel,891,99036,7/19/2025
INV039976,ST034,Petrol,16390,99036,4/14/2025
INV024407,ST015,CNG,9881,99034,1/22/2025
INV002812,ST016,Diesel,3045,99033,2/16/2025
INV042686,ST038,CNG,19166,99031,3/7/2025
INV048961,ST011,CNG,12783,99031,6/27/2025
INV010226,ST046,CNG,5083,99029,1/8/2025
INV012521,ST079,CNG,19195,99025,4/28/2025
INV047698,ST041,Premium,10252,99025,12/2/2024
INV008216,ST047,Premium,2251,99024,10/17/2025
INV029274,ST065,Diesel,19292,99022,8/15/2025
INV007694,ST033,CNG,4026,99009,3/12/2025
INV005205,ST069,CNG,6952,99006,12/23/2024
INV025765,ST070,Petrol,12348,99004,4/27/2025
INV047790,ST065,Premium,4736,99003,11/26/2024
INV008572,ST082,CNG,12186,99001,1/22/2025
INV011352,ST069,Premium,16116,98998,1/21/2025
INV014081,ST026,Petrol,17670,98997,6/8/2025
INV036832,ST090,CNG,9134,98995,1/27/2025
INV035693,ST079,Premium,7526,98994,2/20/2025
INV025444,ST022,Premium,17899,98991,6/2/2025
INV047812,ST059,Premium,17402,98991,5/26/2025
INV010044,ST100,Premium,3680,98989,9/19/2025
INV024333,ST004,Diesel,11113,98989,2/5/2025
INV000454,ST007,CNG,11100,98987,5/21/2025
INV018796,ST003,Premium,12062,98987,4/1/2025
INV020124,ST009,Premium,11746,98987,3/14/2025
